particle_role,head_id,class_label,A_flow,B_flow,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,auto_formulation
hard_hadron,L2_ch32:64,label_Hqql,0.29083486961220656,0.09304284545227245,0.14893416603741577,-0.1977920241599341,-0.05589132058514332,0,0.1977920241599341,0.01105485743150729,PATH: hard_hadron -> L2_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.1978; B-C=-0.0559; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L2_ch224:256,label_Hqql,3.651414941229617,3.468199379400931,7.4320863089451175,-0.18321556182868592,-3.9638869295441865,0,0.18321556182868592,0.726245770821823,PATH: hard_hadron -> L2_ch224:256 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.1832; B-C=-3.9639; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L2_ch224:256,label_Hqql,3.1410699155770203,2.9754721637151484,20.72228480972154,-0.16559775186187187,-17.74681264600639,0,0.16559775186187187,2.9388322768924957,PATH: second_lepton -> L2_ch224:256 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.1656; B-C=-17.7468; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L2_ch96:128,label_Hqql,0.406905763627746,0.26449531573967405,-0.8041684176769494,-0.14241044788807194,1.0686637334166234,0,0.14241044788807194,0.15218888091760044,PATH: hard_hadron -> L2_ch96:128 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.1424; B-C=1.0687; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L2_ch96:128,label_Hqql,0.11173175168255511,0,-1.6892233623304946,-0.11173175168255511,1.6892233623304946,0,0.11173175168255511,0.18873988525628166,PATH: particle0 -> L2_ch96:128 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.1117; B-C=1.6892; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L2_ch32:64,label_Hqql,-0.029688801425535812,-0.11638677534497788,-0.354734949541148,-0.08669797391944206,0.2383481741961701,0,0.08669797391944206,0.02066430379020619,PATH: photon_neighbor -> L2_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.0867; B-C=0.2383; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L2_ch64:96,label_Hqql,1.0899488945883657,1.022092858122947,1.0632841917104745,-0.06785603646541882,-0.04119133358752758,0,0.06785603646541882,0.0027950806339745024,PATH: hadron_neighbor -> L2_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.0679; B-C=-0.0412; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L2_ch192:224,label_Hqql,0.1352447833033286,0.0901608592064272,-0.4186651911585806,-0.04508392409690139,0.5088260503650078,0,0.04508392409690139,0.022939875033182136,PATH: photon_neighbor -> L2_ch192:224 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-0.0451; B-C=0.5088; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L0_ch0:32,label_Hqql,0,0,70.40718153979894,0,-70.40718153979894,0,0,0.0,PATH: particle0 -> L0_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=0.0000; B-C=-70.4072; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L1_ch0:32,label_Hqql,0,0,227.45851884441254,0,-227.45851884441254,0,0,0.0,PATH: particle0 -> L1_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=0.0000; B-C=-227.4585; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L2_ch192:224,label_Hqql,0.9216540923952437,1.0270746303219767,-2.974574299104463,0.105420537926733,4.001648929426439,0,0,0.4218559827340705,PATH: second_lepton -> L2_ch192:224 -> label_Hqql; DIAGNOSIS: anomaly; B-A=0.1054; B-C=4.0016; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L2_ch192:224,label_Hqql,0.39752046269333663,0.758205974728374,-0.2780335133694117,0.3606855120350374,1.0362394880977857,0,0,0.3737565703554749,PATH: hardest_hadron -> L2_ch192:224 -> label_Hqql; DIAGNOSIS: anomaly; B-A=0.3607; B-C=1.0362; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L1_ch64:96,label_Hqql,0,0,-286.47349622526417,0,286.47349622526417,0,0,0.0,PATH: best_lepton -> L1_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=0.0000; B-C=286.4735; NEXT_PROBE: inspect particle geometry/source blocks.
other_lepton,L2_ch192:224,label_Hqql,0,0,-0.8780784297218626,0,0.8780784297218626,0,0,0.0,PATH: other_lepton -> L2_ch192:224 -> label_Hqql; DIAGNOSIS: anomaly; B-A=0.0000; B-C=0.8781; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L2_ch224:256,label_Hqql,11.83553345312248,33.96180009834643,19.893790010445542,22.12626664522395,14.068010087900888,0,0,311.27254237259547,PATH: particle0 -> L2_ch224:256 -> label_Hqql; DIAGNOSIS: anomaly; B-A=22.1263; B-C=14.0680; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L0_ch32:64,label_Hqql,0,0,77.1511730009237,0,-77.1511730009237,0,0,0.0,PATH: particle0 -> L0_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=0.0000; B-C=-77.1512; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L1_ch64:96,label_Hqql,0,0,0.24510490327497791,0,-0.24510490327497791,0,0,0.0,PATH: particle0_best_lepton -> L1_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=0.0000; B-C=-0.2451; NEXT_PROBE: inspect particle geometry/source blocks.
